,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Survived
730,1,29.0,0,0,211.3375,0,0,1,1
194,1,44.0,0,0,27.7208,0,0,0,1
491,3,21.0,0,0,7.25,1,0,1,0
45,3,,0,0,8.05,1,0,1,0
540,1,36.0,0,2,71.0,0,0,1,1
631,3,51.0,0,0,7.0542,1,0,1,0
812,2,35.0,0,0,10.5,1,0,1,0
301,3,,2,0,23.25,1,1,0,1
595,3,36.0,1,1,24.15,1,0,1,0
632,1,32.0,0,0,30.5,1,0,0,1
803,3,0.42,0,1,8.5167,1,0,0,1
652,3,21.0,0,0,8.4333,1,0,1,0
872,1,33.0,0,0,5.0,1,0,1,0
51,3,21.0,0,0,7.8,1,0,1,0
357,2,38.0,0,0,13.0,0,0,1,0
737,1,35.0,0,0,512.3292,1,0,0,1
869,3,4.0,1,1,11.1333,1,0,1,1
578,3,,1,0,14.4583,0,0,0,0
464,3,,0,0,8.05,1,0,1,0
782,1,29.0,0,0,30.0,1,0,1,0
368,3,,0,0,7.75,0,1,0,1
688,3,18.0,0,0,7.7958,1,0,1,0
36,3,,0,0,7.2292,1,0,0,1
830,3,15.0,1,0,14.4542,0,0,0,1
176,3,,3,1,25.4667,1,0,1,0
752,3,33.0,0,0,9.5,1,0,1,0
440,2,45.0,1,1,26.25,0,0,1,1
662,1,47.0,0,0,25.5875,1,0,1,0
542,3,11.0,4,2,31.275,0,0,1,0
118,1,24.0,0,1,247.5208,1,0,0,0
377,1,27.0,0,2,211.5,1,0,0,0
828,3,,0,0,7.75,1,1,0,1
641,1,24.0,0,0,69.3,0,0,0,1
594,2,37.0,1,0,26.0,1,0,1,0
207,3,26.0,0,0,18.7875,1,0,0,1
484,1,25.0,1,0,91.0792,1,0,0,1
426,2,28.0,1,0,26.0,0,0,1,1
76,3,,0,0,7.8958,1,0,1,0
750,2,4.0,1,1,23.0,0,0,1,1
418,2,30.0,0,0,13.0,1,0,1,0
135,2,23.0,0,0,15.0458,1,0,0,0
787,3,8.0,4,1,29.125,1,1,0,0
189,3,36.0,0,0,7.8958,1,0,1,0
742,1,21.0,2,2,262.375,0,0,0,1
80,3,22.0,0,0,9.0,1,0,1,0
449,1,52.0,0,0,30.5,1,0,1,1
445,1,4.0,0,2,81.8583,1,0,1,1
167,3,45.0,1,4,27.9,0,0,1,0
879,1,56.0,0,1,83.1583,0,0,0,1
107,3,,0,0,7.775,1,0,1,1
216,3,27.0,0,0,7.925,0,0,1,1
569,3,32.0,0,0,7.8542,1,0,1,1
292,2,36.0,0,0,12.875,1,0,0,0
94,3,59.0,0,0,7.25,1,0,1,0
401,3,26.0,0,0,8.05,1,0,1,0
358,3,,0,0,7.8792,0,1,0,1
702,3,18.0,0,1,14.4542,0,0,0,0
502,3,,0,0,7.6292,0,1,0,0
849,1,,1,0,89.1042,0,0,0,1
777,3,5.0,0,0,12.475,0,0,1,1
694,1,60.0,0,0,26.55,1,0,1,0
870,3,26.0,0,0,7.8958,1,0,1,0
305,1,0.92,1,2,151.55,1,0,1,1
60,3,22.0,0,0,7.2292,1,0,0,0
634,3,9.0,3,2,27.9,0,0,1,0
462,1,47.0,0,0,38.5,1,0,1,0
853,1,16.0,0,1,39.4,0,0,1,1
297,1,2.0,1,2,151.55,0,0,1,0
217,2,42.0,1,0,27.0,1,0,1,0
526,2,50.0,0,0,10.5,0,0,1,1
698,1,49.0,1,1,110.8833,1,0,0,0
701,1,35.0,0,0,26.2875,1,0,1,1
838,3,32.0,0,0,56.4958,1,0,1,1
696,3,44.0,0,0,8.05,1,0,1,0
213,2,30.0,0,0,13.0,1,0,1,0
854,2,44.0,1,0,26.0,0,0,1,0
476,2,34.0,1,0,21.0,1,0,1,0
72,2,21.0,0,0,73.5,1,0,1,0
713,3,29.0,0,0,9.4833,1,0,1,0
